aa, count 
M, 209434
A, 676731
E, 681809
V, 592472
W, 117954
S, 813957
T, 518126
D, 472579
G, 630100
Y, 260000
R, 544771
P, 599620
N, 344808
L, 972581
H, 248048
Q, 460852
I, 416923
F, 355360
K, 546850
C, 215037
X, 74
U, 33
Z, 23
B, 17
