aa, count 
M, 7002
S, 20773
G, 21514
A, 27231
I, 13894
E, 17142
V, 19985
H, 6387
F, 11247
R, 15835
Q, 10395
L, 26799
P, 15039
K, 15016
D, 14851
N, 9854
Y, 8428
T, 14160
C, 4820
W, 3660
X, 39
B, 4
Z, 2
