aa, count 
M, 242299
N, 407911
G, 746947
P, 717583
V, 677832
D, 538303
L, 1132151
C, 261479
H, 297933
S, 946345
E, 807016
F, 414755
T, 608033
K, 651322
I, 492950
Q, 541826
A, 796830
Y, 302756
R, 640498
W, 138162
U, 36
